,County Name,hispanic,his_total,black,black_total,white,white_total,asian,asian_total,State
28687,Garza,3048,0.472631415723368,398,0.06171499457280198,5890,0.9133198945572957,28,0.004341758412156923,TX
28698,Gillespie,4986,0.20024900598417608,144,0.005783364793766818,24230,0.9731314510622917,92,0.0036949275071288005,TX
28709,Glasscock,383,0.3118892508143323,42,0.03420195439739414,1160,0.9446254071661238,3,0.0024429967426710096,TX
28720,Goliad,2474,0.342516959712031,331,0.045825834140938666,6694,0.9267617333517929,29,0.004014952235913055,TX
28731,Gonzales,9389,0.47261653075606563,1540,0.07751937984496124,17677,0.8898117386489479,97,0.004882714185039766,TX
28742,Gray,5391,0.2400694691841824,1118,0.04978624866405415,20568,0.9159244745279658,107,0.004764873530459565,TX
28753,Grayson,13867,0.11446613562260101,7271,0.06001898551322795,107988,0.8913946097651575,1110,0.009162573775228033,TX
28764,Gregg,20168,0.16550954420864314,24831,0.2037766507459747,92278,0.7572833062517439,1418,0.011636876918279252,TX
28775,Grimes,5721,0.2145991972692149,4448,0.16684796879102742,21547,0.8082448704002401,87,0.003263438238493567,TX
28786,Guadalupe,47465,0.3584130603861634,8959,0.06765032356472427,117217,0.8851175329039274,2038,0.015389146045865394,TX
28797,Hale,20365,0.5598317618275284,2098,0.05767380487670781,33128,0.9106853231437446,180,0.0049481815432828435,TX
28808,Hall,1086,0.32369597615499257,220,0.06557377049180328,3010,0.8971684053651267,20,0.005961251862891207,TX
28819,Hamilton,842,0.09904717092106811,76,0.008940124691212798,8217,0.9665921656275732,36,0.004234795906363957,TX
28830,Hansford,2430,0.432,67,0.011911111111111112,5407,0.9612444444444445,15,0.0026666666666666666,TX
28841,Hardeman,912,0.21965317919075145,242,0.05828516377649326,3775,0.9092003853564548,16,0.0038535645472061657,TX
28852,Hardin,2473,0.04517059983926353,3235,0.0590889164901001,50458,0.9216409731862352,282,0.005150873091254475,TX
28863,Harris,1685575,0.41003865211659807,800527,0.19473889447989198,2932199,0.713296605429979,262988,0.06397534671719733,TX
28874,Harrison,7350,0.11175987592372959,14586,0.22178633336374418,49112,0.7467688471246541,387,0.005884499589453517,TX
28885,Hartley,1458,0.2403560830860534,454,0.07484338938344873,5523,0.9104846686449061,25,0.004121332014507088,TX
28896,Haskell,1411,0.23955857385398982,213,0.036162988115449914,5470,0.9286926994906621,45,0.007640067911714771,TX
28907,Hays,56105,0.35439511850017685,6041,0.03815882561018748,145268,0.917605740562939,2023,0.012778563848602759,TX
28918,Hemphill,1064,0.28022122728469845,47,0.012378193310508295,3655,0.9626020542533579,23,0.006057413747695549,TX
28929,Henderson,8608,0.10945109158645594,5005,0.06363879105369563,71497,0.9090874413518634,354,0.00450112528132033,TX
28940,Hidalgo,707327,0.9067283520940613,5365,0.006877438029348009,760169,0.9744669504811643,7996,0.010250138766573472,TX
28951,Hill,6502,0.1850523679417122,2298,0.06540300546448087,31941,0.9090676229508197,147,0.004183743169398907,TX
28962,Hockley,9983,0.43662526242127364,854,0.037351294611616515,21379,0.9350507347795661,93,0.004067529741077677,TX
28973,Hood,5326,0.10380852142049662,313,0.006100650995984875,49698,0.9686586364167934,322,0.006276069075741629,TX
28984,Hopkins,5453,0.1547828555208629,2566,0.07283565143343741,31551,0.8955719557195572,197,0.005591825149020721,TX
28995,Houston,2409,0.10154702187750285,6235,0.2628251064367913,17000,0.7166041394427349,115,0.004847616237406736,TX
29006,Howard,13296,0.3798531554438191,2419,0.06910836214038797,31221,0.8919521183898523,343,0.009799160071993829,TX
29017,Hudspeth,2742,0.7863492973903069,83,0.02380269572698595,3282,0.9412102093490106,30,0.008603383997705764,TX
29028,Hunt,11936,0.13822333908491888,7331,0.08489571873588642,75242,0.8713304691209338,980,0.011348766111194748,TX
29039,Hutchinson,4451,0.2012024229274026,591,0.02671548684567399,20566,0.9296627791338938,116,0.005243648856342103,TX
29050,Irion,412,0.25653798256537985,37,0.02303860523038605,1550,0.9651307596513076,2,0.0012453300124533001,TX
29061,Jack,1270,0.1406734603455915,360,0.03987594151528578,8496,0.9410722197607444,31,0.003433761630482942,TX
29072,Jackson,4111,0.29203665553740144,999,0.07096682531789444,12742,0.9051644526532642,65,0.004617461106769909,TX
29083,Jasper,2095,0.05850484515066045,6014,0.16794660560194363,28916,0.8075064927811444,212,0.005920299366081153,TX
29094,Jeff,780,0.33248081841432225,64,0.027280477408354646,2205,0.9398976982097187,11,0.004688832054560955,TX
29105,Jefferson,43194,0.17113990253179603,86594,0.3430960022187884,150895,0.5978644161813067,8914,0.035318356511747695,TX
29116,Jim,4866,0.9170750094232943,57,0.010742555597436865,5146,0.9698454579721071,24,0.004523181304183943,TX
29127,Jim,32321,0.7898775629902979,265,0.006476209096018965,39872,0.9744128644395025,170,0.004154549231408392,TX
29138,Johnson,27593,0.18248011057396618,4211,0.027848503085093016,141786,0.9376698785141293,1073,0.007096044599929899,TX
29149,Jones,5048,0.24971555775414297,2487,0.1230274548602523,17100,0.8459065050704923,145,0.007172891417264408,TX
29160,Karnes,7389,0.49787750151607035,1439,0.09696112121824675,13117,0.8838353210700087,56,0.0037733306380971633,TX
29171,Kaufman,17790,0.1711778459880493,11023,0.10606483396999818,89286,0.8591222685154002,988,0.009506672953130563,TX
29182,Kendall,6894,0.20456973293768546,245,0.0072700296735905045,32514,0.9648071216617211,248,0.007359050445103857,TX
29193,Kenedy,298,0.711217183770883,16,0.03818615751789976,399,0.9522673031026253,1,0.002386634844868735,TX
29204,Kent,124,0.15327564894932014,37,0.04573547589616811,762,0.9419035846724351,0,0.0,TX
29215,Kerr,11952,0.2406862942526884,935,0.018828788916186716,46986,0.9461919529582343,404,0.008135647831165169,TX
29226,Kimble,1058,0.23005001087192867,58,0.012611437268971515,4438,0.9649923896499238,20,0.004348771472059143,TX
29237,King,48,0.16608996539792387,0,0.0,283,0.9792387543252595,0,0.0,TX
29248,Kinney,1972,0.548082267926626,83,0.023068371317398556,3383,0.9402445803224013,24,0.006670372429127293,TX
