Areaname,LND110210D
"Ohio, IN",86.14
"Orange, IN",398.39
"Owen, IN",385.29
"Parke, IN",444.66
"Perry, IN",381.73
"Pike, IN",334.24
"Porter, IN",418.15
"Posey, IN",409.57
"Pulaski, IN",433.65
"Putnam, IN",480.53
"Randolph, IN",452.38
"Ripley, IN",446.43
"Rush, IN",408.12
"St. Joseph, IN",457.85
"Scott, IN",190.4
"Shelby, IN",411.15
"Spencer, IN",396.74
"Starke, IN",309.13
"Steuben, IN",308.94
"Sullivan, IN",447.14
"Switzerland, IN",220.63
"Tippecanoe, IN",499.81
"Tipton, IN",260.54
"Union, IN",161.22
"Vanderburgh, IN",233.48
"Vermillion, IN",256.88
"Vigo, IN",403.31
"Wabash, IN",412.43
"Warren, IN",364.68
"Warrick, IN",384.82
"Washington, IN",513.73
"Wayne, IN",401.74
"Wells, IN",368.09
"White, IN",505.13
"Whitley, IN",335.57
IOWA,55857.13
"Adair, IA",569.27
"Adams, IA",423.44
"Allamakee, IA",639.08
"Appanoose, IA",497.29
"Audubon, IA",442.96
"Benton, IA",716.27
"Black Hawk, IA",565.77
"Boone, IA",571.57
"Bremer, IA",435.48
"Buchanan, IA",571.02
"Buena Vista, IA",574.92
"Butler, IA",580.13
"Calhoun, IA",569.97
"Carroll, IA",569.44
"Cass, IA",564.27
"Cedar, IA",579.44
"Cerro Gordo, IA",568.31
"Cherokee, IA",576.91
"Chickasaw, IA",504.38
"Clarke, IA",431.17
"Clay, IA",567.24
"Clayton, IA",778.54
"Clinton, IA",694.92
"Crawford, IA",714.19
"Dallas, IA",588.45
"Davis, IA",502.19
"Decatur, IA",531.88
"Delaware, IA",577.76
"Des Moines, IA",416.12
"Dickinson, IA",380.61
"Dubuque, IA",608.31
"Emmet, IA",395.88
"Fayette, IA",730.81
"Floyd, IA",500.63
"Franklin, IA",581.97
"Fremont, IA",511.15
"Greene, IA",569.57
"Grundy, IA",501.86
"Guthrie, IA",590.62
"Hamilton, IA",576.75
"Hancock, IA",571.01
"Hardin, IA",569.31
"Harrison, IA",696.85
"Henry, IA",434.33
"Howard, IA",473.25
"Humboldt, IA",434.35
"Ida, IA",431.51
"Iowa, IA",586.46
"Jackson, IA",636.04
"Jasper, IA",730.42
"Jefferson, IA",435.51
"Johnson, IA",614.04
"Jones, IA",575.62
"Keokuk, IA",579.18
"Kossuth, IA",972.72
"Lee, IA",517.52
"Linn, IA",716.88
"Louisa, IA",401.77
"Lucas, IA",430.59
"Lyon, IA",587.65
"Madison, IA",561.01
"Mahaska, IA",570.86
"Marion, IA",554.53
"Marshall, IA",572.5
"Mills, IA",437.44
"Mitchell, IA",469.13
"Monona, IA",694.07
"Monroe, IA",433.72
"Montgomery, IA",424.1
"Muscatine, IA",437.47
"O'Brien, IA",573.04
"Osceola, IA",398.68
"Page, IA",534.94
"Palo Alto, IA",563.84
"Plymouth, IA",862.89
"Pocahontas, IA",577.24
"Polk, IA",573.8
"Pottawattamie, IA",950.28
"Poweshiek, IA",584.93
"Ringgold, IA",535.5
"Sac, IA",575.01
"Scott, IA",458.09
"Shelby, IA",590.78
"Sioux, IA",768.33
"Story, IA",572.82
"Tama, IA",721.01
"Taylor, IA",531.9
"Union, IA",423.65
"Van Buren, IA",484.79
"Wapello, IA",431.83
"Warren, IA",569.83
"Washington, IA",568.84
"Wayne, IA",525.44
"Webster, IA",715.62
"Winnebago, IA",400.49
"Winneshiek, IA",689.87
"Woodbury, IA",872.83
"Worth, IA",400.12
"Wright, IA",580.42
KANSAS,81758.72
"Allen, KS",500.3
"Anderson, KS",579.65
"Atchison, KS",431.17
"Barber, KS",1134.07
"Barton, KS",895.4
"Bourbon, KS",635.47
"Brown, KS",570.87
"Butler, KS",1429.86
"Chase, KS",773.06
"Chautauqua, KS",638.88
"Cherokee, KS",587.57
"Cheyenne, KS",1019.89
"Clark, KS",974.63
"Clay, KS",645.3
"Cloud, KS",715.34
"Coffey, KS",626.95
"Comanche, KS",788.3
"Cowley, KS",1125.75
"Crawford, KS",589.76
"Decatur, KS",893.52
"Dickinson, KS",847.07
"Doniphan, KS",393.41
"Douglas, KS",455.87
"Edwards, KS",621.89
"Elk, KS",644.27
"Ellis, KS",899.91
"Ellsworth, KS",715.85
"Finney, KS",1301.97
"Ford, KS",1098.27
"Franklin, KS",571.76
"Geary, KS",384.62
"Gove, KS",1071.67
"Graham, KS",898.52
"Grant, KS",574.8
"Gray, KS",868.87
"Greeley, KS",778.45
"Greenwood, KS",1143.3
"Hamilton, KS",996.51
"Harper, KS",801.27
"Harvey, KS",539.75
"Haskell, KS",577.52
"Hodgeman, KS",859.99
"Jackson, KS",656.22
